value	weight
1360	1290
1620	1020
1620	1600
960	1850
1640	910
630	340
1660	1300
2830	1000
810	430
1800	800
2390	590
2800	130
120	1850
1880	1470
850	1830
1880	1220
2370	1090
2400	1720
3030	1090
160	1890
2530	1220
200	230
2760	1130
2680	290
1860	100
2550	1840
2610	1220
480	1840
1160	1500
540	1800
3020	1450
3170	460
280	750
570	240
290	80
1970	1110
1670	1000
120	940
3140	680
880	590
2400	1760
3120	560
2300	770
820	860
2680	1540
1410	1360
3090	1660
680	1290
2690	1050
410	370
1410	810
1620	970
2380	760
2180	1390
1330	1880
1180	780
160	360
960	500
930	430
2320	1560
2300	50
3170	190
1960	1050
2850	1500
2890	170
920	1950
800	240
3280	1870
1050	1540
1810	1040
270	190
1560	1060
1320	330
750	110
1880	620
2890	1090
2080	530
1180	1420
2090	1620
1890	700
2190	90
3070	1390
3060	860
2750	500
2520	500
130	470
2740	1610
190	1280
3070	1730
3180	1720
320	460
580	260
1280	40
3190	1830
1540	2010
530	130
1240	70
670	1570
2480	1970
280	1170
1340	1820
270	350
230	1420
490	1680
1580	250
1130	160
2170	200
1330	1330
1820	510
2890	440
3000	1550
2580	1020
1310	630
720	600
980	1090
1630	610
540	1420
2640	160
2280	1080
2610	1730
1870	1490
610	540
2520	1370
580	2000
1880	410
2120	1200
200	80
1440	1460
3090	1580
970	860
1990	1880
1070	1280
1870	1860
1450	1520
2660	1310
1310	230
470	1950
3170	1240
1770	1100
450	570
2420	600
3140	40
2460	130
1390	820
1850	380
480	790
1600	1290
2410	1200
2490	1130
2110	1180
1000	930
2550	1630
2760	1080
1790	170
1740	550
2500	1480
1090	240
3200	1150
830	630
480	1860
2480	1330
2360	1750
3080	780
2850	240
600	350
1740	1650
3290	1860
1160	330
2010	1730
660	1100
1280	180
1290	990
580	1250
3220	410
1630	590
1050	720
320	1920
1990	560
590	1770
2340	480
350	740
2320	70
150	210
1530	730
820	830
2730	960
2080	470
600	1890
2250	1500
620	1560
3300	570
740	1990
2280	1060
3120	1340
390	420
1350	380
540	1910
3060	90
800	650
520	1690
1700	730
760	600
2830	620
1500	670
2730	1700
3280	1810
760	580
3190	1550
2420	1300
1250	1050
830	450
2600	1080
2290	170
360	310
780	100
2070	1390
730	520
2750	1820
2200	1290
2650	1790
1920	380
1330	680
3130	300
680	2000
1960	1860
2650	470
1610	1270
1970	500
1260	180
1180	410
2630	480
330	2000
2690	890
1910	1390
1910	500
1980	890
310	450
3230	380
710	1630
2240	320
3160	690
1170	1960
220	1690
1300	510
2050	670
560	350
1780	1350
190	690
300	1410
1490	380
820	920
1160	200
3070	660
730	390
3040	350
1340	550
3200	1910
2560	1890
2330	810
3130	1800
2660	30
870	1520
1920	1130
470	1290
960	1940
2150	860
1190	1560
3030	1510
2620	1550
2480	370
1610	1980
1380	190
3030	130
2470	1480
3000	1750
2170	1000
2930	950
700	1230
740	1880
1940	30
2390	1460
1350	1000
900	110
1040	1140
1980	1360
3210	150
2290	1730
560	1090
3200	1160
2970	1270
1350	1450
2020	180
770	1560
910	100
1780	40
1400	1090
2550	1620
1290	1220
2200	510
2970	1850
1920	450
2060	600
2770	580
1620	1180
700	1440
460	1780
3060	1370
2980	1470
1400	700
1460	290
1980	1220
2420	50
760	850
2650	30
1770	1940
380	120
2560	40
1880	1150
2700	230
2960	540
1820	300
690	1550
2510	1320
2910	570
3010	230
540	270
3060	2010
2860	300
2670	1370
1400	490
740	310
1430	1250
1350	1270
2760	1580
1920	1500
1130	1170
2050	1480
2950	490
1110	1950
1540	570
1320	1820
890	1320
2310	1940
510	1150
1760	1980
440	630
2280	1350
1200	1760
350	1230
2770	1030
1180	1130
1370	650
440	1090
2290	90
480	770
3120	1820
3200	1320
560	310
860	420
3190	1710
2430	80
3240	1160
870	1030
2770	370
1960	1850
2120	190
2700	440
210	130
1020	2020
3060	830
470	140
970	1050
2320	1750
220	70
940	260
1460	220
2450	690
1860	1220
680	20
2670	570
230	750
1840	430
2670	160
160	460
160	1350
1840	1810
3010	1160
3090	310
1700	1150
2820	200
2510	1110
1680	1690
520	840
1910	170
750	1160
2360	2020
2420	1390
2660	1490
210	1990
2320	1260
1930	1220
2410	1140
1650	400
2610	1360
2230	780
2010	400
2430	150
1740	1670
530	2020
3030	1170
3240	250
2750	560
3300	1760
120	770
2290	970
2170	660
3290	150
3190	1820
1780	590
1630	1850
1290	1190
1460	1630
1930	1800
3100	450
290	130
1540	1970
1250	1600
170	890
3040	1080
2380	1870
230	1230
1550	1890
2210	540
1380	1890
3310	120
520	1320
3130	1910
3170	560
110	450
3290	1180
2900	660
2010	1740
2420	680
220	510
3000	1560
1410	40
1440	1340
1830	1670
1380	1690
2890	1980
1060	1140
2630	790
1430	1430
1240	1930
2090	520
3290	2020
2310	1610
2680	740
2910	730
870	2010
1560	130
110	840
3260	280
2030	770
2160	1270
2660	490
2370	1750
2930	490
1170	340
2100	1050
1310	1660
1490	720
2230	910
2260	1150
2460	50
1330	1820
1950	1750
2090	520
3240	30
3280	1510
1990	1040
1660	1850
2330	880
3260	1240
3010	690
2400	1040
2050	1650
440	1160
1000	1730
1170	1250
2510	1960
460	260
2710	500
2280	760
1840	950
400	1350
1910	1900
2490	1980
1250	1980
1900	1200
1600	1110
1990	1600
1680	1930
690	1930
350	90
1820	1850
1500	1080
1440	850
2260	1250
3150	730
2050	60
1950	1120
130	570
1740	700
3180	960
2100	1990
830	400
980	1910
1880	1350
1180	1120
2580	1020
2690	710
1850	410
640	1670
960	1350
2700	590
1580	680
890	1900
1500	800
2300	530
1510	570
780	1260
3280	120
870	250
2520	980
430	610
1500	20
2500	1900
2080	1210
2290	1730
2950	420
